family,n,E0,r,field,potential
B7_cantor,6,0.16666666666666666,0.8158,1.01294622,0.7725965587586667
B7_cantor,6,0.16666666666666666,0.81585,1.0135843987500002,0.7726472220317292
B7_cantor,6,0.16666666666666666,0.8159,1.0142207549999998,0.7726979171681667
B7_cantor,6,0.16666666666666666,0.81595,1.01485528875,0.7727486440768543
B7_cantor,6,0.16666666666666666,0.816,1.0154879999999997,0.7727994026666667
B7_cantor,6,0.16666666666666666,0.81605,1.016118888750001,0.7728501928464794
B7_cantor,6,0.16666666666666666,0.8161,1.0167479550000011,0.7729010145251668
B7_cantor,6,0.16666666666666666,0.81615,1.017375198750001,0.7729518676116043
B7_cantor,6,0.16666666666666666,0.8162,1.0180006200000011,0.7730027520146668
B7_cantor,6,0.16666666666666666,0.81625,1.0186242187500008,0.7730536676432294
B7_cantor,6,0.16666666666666666,0.8163,1.019245995000001,0.7731046144061668
B7_cantor,6,0.16666666666666666,0.81635,1.0198659487500008,0.7731555922123543
B7_cantor,6,0.16666666666666666,0.8164,1.0204840800000008,0.7732066009706668
B7_cantor,6,0.16666666666666666,0.81645,1.0211003887500005,0.7732576405899793
B7_cantor,6,0.16666666666666666,0.8165,1.0217148750000007,0.7733087109791668
B7_cantor,6,0.16666666666666666,0.81655,1.0223275387500004,0.7733598120471042
B7_cantor,6,0.16666666666666666,0.8166,1.0229383800000007,0.7734109437026668
B7_cantor,6,0.16666666666666666,0.81665,1.0235473987500003,0.7734621058547293
B7_cantor,6,0.16666666666666666,0.8167,1.0241545950000006,0.7735132984121668
B7_cantor,6,0.16666666666666666,0.81675,1.0247599687500004,0.7735645212838542
B7_cantor,6,0.16666666666666666,0.8168,1.0253635200000002,0.7736157743786668
B7_cantor,6,0.16666666666666666,0.81685,1.0259652487500002,0.7736670576054793
B7_cantor,6,0.16666666666666666,0.8169,1.0265651550000003,0.7737183708731667
B7_cantor,6,0.16666666666666666,0.81695,1.02716323875,0.7737697140906042
B7_cantor,6,0.16666666666666666,0.817,1.0277595,0.7738210871666668
B7_cantor,6,0.16666666666666666,0.81705,1.0283539387500014,0.7738724900102294
B7_cantor,6,0.16666666666666666,0.8171,1.0289465550000012,0.7739239225301668
B7_cantor,6,0.16666666666666666,0.81715,1.029537348750001,0.7739753846353543
B7_cantor,6,0.16666666666666666,0.8172,1.030126320000001,0.7740268762346668
B7_cantor,6,0.16666666666666666,0.81725,1.0307134687500012,0.7740783972369794
B7_cantor,6,0.16666666666666666,0.8173,1.0312987950000008,0.7741299475511668
B7_cantor,6,0.16666666666666666,0.81735,1.0318822987500007,0.7741815270861043
B7_cantor,6,0.16666666666666666,0.8174,1.0324639800000008,0.7742331357506668
B7_cantor,6,0.16666666666666666,0.81745,1.033043838750001,0.7742847734537293
B7_cantor,6,0.16666666666666666,0.8175,1.0336218750000006,0.7743364401041668
B7_cantor,6,0.16666666666666666,0.81755,1.0341980887500006,0.7743881356108543
B7_cantor,6,0.16666666666666666,0.8176,1.0347724800000007,0.7744398598826668
B7_cantor,6,0.16666666666666666,0.81765,1.0353450487500004,0.7744916128284793
B7_cantor,6,0.16666666666666666,0.8177,1.0359157950000004,0.7745433943571668
B7_cantor,6,0.16666666666666666,0.81775,1.0364847187500001,0.7745952043776043
B7_cantor,6,0.16666666666666666,0.8178,1.0370518200000003,0.7746470427986668
B7_cantor,6,0.16666666666666666,0.81785,1.0376170987500004,0.7746989095292293
B7_cantor,6,0.16666666666666666,0.8179,1.0381805550000003,0.7747508044781668
B7_cantor,6,0.16666666666666666,0.81795,1.03874218875,0.7748027275543542
B7_cantor,6,0.16666666666666666,0.818,1.039302,0.7748546786666667
B7_cantor,6,0.16666666666666666,0.81805,1.039859988750001,0.7749066577239794
B7_cantor,6,0.16666666666666666,0.8181,1.040416155000001,0.7749586646351668
B7_cantor,6,0.16666666666666666,0.81815,1.0409704987500012,0.7750106993091044
B7_cantor,6,0.16666666666666666,0.8182,1.0415230200000012,0.7750627616546668
B7_cantor,6,0.16666666666666666,0.81825,1.042073718750001,0.7751148515807293
B7_cantor,6,0.16666666666666666,0.8183,1.0426225950000008,0.7751669689961668
B7_cantor,6,0.16666666666666666,0.81835,1.0431696487500008,0.7752191138098543
B7_cantor,6,0.16666666666666666,0.8184,1.043714880000001,0.7752712859306669
B7_cantor,6,0.16666666666666666,0.81845,1.0442582887500007,0.7753234852674793
B7_cantor,6,0.16666666666666666,0.8185,1.0447998750000007,0.7753757117291667
B7_cantor,6,0.16666666666666666,0.81855,1.0453396387500007,0.7754279652246043
B7_cantor,6,0.16666666666666666,0.8186,1.0458775800000006,0.7754802456626668
B7_cantor,6,0.16666666666666666,0.81865,1.0464136987500006,0.7755325529522292
B7_cantor,6,0.16666666666666666,0.8187,1.0469479950000005,0.7755848870021668
B7_cantor,6,0.16666666666666666,0.81875,1.0474804687500003,0.7756372477213542
B7_cantor,6,0.16666666666666666,0.8188,1.0480111200000004,0.7756896350186667
B7_cantor,6,0.16666666666666666,0.81885,1.0485399487500002,0.7757420488029793
B7_cantor,6,0.16666666666666666,0.8189,1.0490669550000002,0.7757944889831667
B7_cantor,6,0.16666666666666666,0.81895,1.0495921387500002,0.7758469554681042
B7_cantor,6,0.16666666666666666,0.819,1.0501155000000002,0.7758994481666668
B7_cantor,6,0.16666666666666666,0.81905,1.0506370387500001,0.7759519669877293
B7_cantor,6,0.16666666666666666,0.8191,1.0511567550000012,0.7760045118401668
B7_cantor,6,0.16666666666666666,0.81915,1.051674648750001,0.7760570826328543
B7_cantor,6,0.16666666666666666,0.8192,1.0521907200000011,0.7761096792746668
B7_cantor,6,0.16666666666666666,0.81925,1.052704968750001,0.7761623016744793
B7_cantor,6,0.16666666666666666,0.8193,1.0532173950000008,0.7762149497411668
B7_cantor,6,0.16666666666666666,0.81935,1.053727998750001,0.7762676233836043
B7_cantor,6,0.16666666666666666,0.8194,1.0542367800000008,0.7763203225106668
B7_cantor,6,0.16666666666666666,0.81945,1.0547437387500005,0.7763730470312293
B7_cantor,6,0.16666666666666666,0.8195,1.0552488750000006,0.7764257968541668
B7_cantor,6,0.16666666666666666,0.81955,1.0557521887500008,0.7764785718883543
B7_cantor,6,0.16666666666666666,0.8196,1.0562536800000006,0.7765313720426668
B7_cantor,6,0.16666666666666666,0.81965,1.0567533487500005,0.7765841972259793
B7_cantor,6,0.16666666666666666,0.8197,1.0572511950000003,0.7766370473471668
B7_cantor,6,0.16666666666666666,0.81975,1.0577472187500003,0.7766899223151043
B7_cantor,6,0.16666666666666666,0.8198,1.0582414200000003,0.7767428220386667
B7_cantor,6,0.16666666666666666,0.81985,1.0587337987500003,0.7767957464267292
B7_cantor,6,0.16666666666666666,0.8199,1.0592243550000002,0.7768486953881667
B7_cantor,6,0.16666666666666666,0.81995,1.0597130887500004,0.7769016688318543
B7_cantor,6,0.16666666666666666,0.82,1.0602,0.7769546666666667
B7_cantor,6,0.16666666666666666,0.82005,1.06068508875,0.7770076888014792
B7_cantor,6,0.16666666666666666,0.8201,1.0611683550000013,0.7770607351451668
B7_cantor,6,0.16666666666666666,0.82015,1.0616497987500009,0.7771138056066044
B7_cantor,6,0.16666666666666666,0.8202,1.0621294200000009,0.7771669000946668
B7_cantor,6,0.16666666666666666,0.82025,1.0626072187500009,0.7772200185182293
B7_cantor,6,0.16666666666666666,0.8203,1.0630831950000008,0.7772731607861668
B7_cantor,6,0.16666666666666666,0.82035,1.0635573487500007,0.7773263268073544
B7_cantor,6,0.16666666666666666,0.8204,1.0640296800000006,0.7773795164906668
B7_cantor,6,0.16666666666666666,0.82045,1.0645001887500007,0.7774327297449793
B7_cantor,6,0.16666666666666666,0.8205,1.0649688750000008,0.7774859664791668
B7_cantor,6,0.16666666666666666,0.82055,1.0654357387500006,0.7775392266021043
B7_cantor,6,0.16666666666666666,0.8206,1.0659007800000004,0.7775925100226668
B7_cantor,6,0.16666666666666666,0.82065,1.0663639987500004,0.7776458166497293
B7_cantor,6,0.16666666666666666,0.8207,1.0668253950000006,0.7776991463921668
B7_cantor,6,0.16666666666666666,0.82075,1.0672849687500006,0.7777524991588542
B7_cantor,6,0.16666666666666666,0.8208,1.0677427200000003,0.7778058748586667
B7_cantor,6,0.16666666666666666,0.82085,1.0681986487500004,0.7778592734004792
B7_cantor,6,0.16666666666666666,0.8209,1.0686527550000002,0.7779126946931667
B7_cantor,6,0.16666666666666666,0.82095,1.0691050387500003,0.7779661386456043
B7_cantor,6,0.16666666666666666,0.821,1.0695555,0.7780196051666668
B7_cantor,6,0.16666666666666666,0.82105,1.0700041387500001,0.7780730941652292
B7_cantor,6,0.16666666666666666,0.8211,1.070450955000001,0.7781266055501669
B7_cantor,6,0.16666666666666666,0.82115,1.070895948750001,0.7781801392303543
B7_cantor,6,0.16666666666666666,0.8212,1.0713391200000009,0.7782336951146669
B7_cantor,6,0.16666666666666666,0.82125,1.071780468750001,0.7782872731119793
B7_cantor,6,0.16666666666666666,0.8213,1.0722199950000009,0.7783408731311668
B7_cantor,6,0.16666666666666666,0.82135,1.0726576987500007,0.7783944950811044
B7_cantor,6,0.16666666666666666,0.8214,1.0730935800000008,0.7784481388706668
B7_cantor,6,0.16666666666666666,0.82145,1.0735276387500008,0.7785018044087293
B7_cantor,6,0.16666666666666666,0.8215,1.0739598750000006,0.7785554916041668
B7_cantor,6,0.16666666666666666,0.82155,1.0743902887500005,0.7786092003658542
B7_cantor,6,0.16666666666666666,0.8216,1.0748188800000005,0.7786629306026668
B7_cantor,6,0.16666666666666666,0.82165,1.0752456487500006,0.7787166822234792
B7_cantor,6,0.16666666666666666,0.8217,1.0756705950000005,0.7787704551371668
B7_cantor,6,0.16666666666666666,0.82175,1.0760937187500001,0.7788242492526043
B7_cantor,6,0.16666666666666666,0.8218,1.0765150200000004,0.7788780644786668
B7_cantor,6,0.16666666666666666,0.82185,1.0769344987500005,0.7789319007242292
B7_cantor,6,0.16666666666666666,0.8219,1.0773521550000003,0.7789857578981667
B7_cantor,6,0.16666666666666666,0.82195,1.07776798875,0.7790396359093542
B7_cantor,6,0.16666666666666666,0.822,1.0781820000000002,0.7790935346666668
B7_cantor,6,0.16666666666666666,0.82205,1.0785941887500001,0.7791474540789792
