family,n,seed,kstar,D,peak_k
B4_random,4,7,3,0.47973283014755563,2.53125
B4_random,4,7,4,0.47973283014755563,3.796875
B4_random,4,8,1,0.2347067041857639,1.125
B4_random,4,8,2,0.4143728273849931,1.6875
B4_random,4,8,3,0.4963427753034106,2.53125
B4_random,4,8,4,0.4963427753034106,3.796875
B4_random,4,9,1,0.1855542476923796,1.125
B4_random,4,9,2,0.3657582398295145,1.6875
B4_random,4,9,3,0.3657582398295145,2.53125
B4_random,4,9,4,0.3657582398295145,3.796875
B4_random,4,10,1,0.2067326153567237,1.125
B4_random,4,10,2,0.3845929927883965,1.6875
B4_random,4,10,3,0.3845929927883965,2.53125
B4_random,4,10,4,0.3845929927883965,3.796875
B4_random,4,11,1,0.1933802499758378,1.125
B4_random,4,11,2,0.3813115261638219,1.6875
B4_random,4,11,3,0.3813115261638219,2.53125
B4_random,4,11,4,0.4181502654188881,3.796875
B4_random,4,12,1,0.20868865465083297,1.125
B4_random,4,12,2,0.39673700065764395,1.6875
B4_random,4,12,3,0.39673700065764395,2.53125
B4_random,4,12,4,0.39673700065764395,3.796875
B4_random,4,13,1,0.20848513905040733,1.125
B4_random,4,13,2,0.39081371768092527,1.6875
B4_random,4,13,3,0.39081371768092527,2.53125
B4_random,4,13,4,0.39081371768092527,3.796875
B4_random,4,14,1,0.18586846144875924,1.125
B4_random,4,14,2,0.3646334718358812,1.6875
B4_random,4,14,3,0.3646334718358812,2.53125
B4_random,4,14,4,0.4055021503237009,3.796875
B4_random,4,15,1,0.19311614855185064,1.125
B4_random,4,15,2,0.3763029768281573,1.6875
B4_random,4,15,3,0.3763029768281573,2.53125
B4_random,4,15,4,0.3763029768281573,3.796875
B4_random,4,16,1,0.1961338866241283,1.125
B4_random,4,16,2,0.3792346302551183,1.6875
B4_random,4,16,3,0.3792346302551183,2.53125
B4_random,4,16,4,0.3792346302551183,3.796875
B4_random,4,17,1,0.2053888059084924,1.125
B4_random,4,17,2,0.3843615803631904,1.6875
B4_random,4,17,3,0.3843615803631904,2.53125
B4_random,4,17,4,0.3843615803631904,3.796875
B4_random,4,18,1,0.1770420526106916,1.125
B4_random,4,18,2,0.3520067736210171,1.6875
B4_random,4,18,3,0.3520067736210171,2.53125
B4_random,4,18,4,0.3520067736210171,3.796875
B4_random,4,19,1,0.18940700977015446,1.125
B4_random,4,19,2,0.36343133911468584,1.6875
B4_random,4,19,3,0.36343133911468584,2.53125
B4_random,4,19,4,0.5167831582121774,3.796875
B4_random,4,20,1,0.18897719309892463,1.125
B4_random,4,20,2,0.36556859524308327,1.6875
B4_random,4,20,3,0.36556859524308327,2.53125
B4_random,4,20,4,0.39165954234266365,3.796875
B4_random,4,21,1,0.2140713118063797,1.125
B4_random,4,21,2,0.3993699445079649,1.6875
B4_random,4,21,3,0.3993699445079649,2.53125
B4_random,4,21,4,0.4364333525698776,3.796875
B4_random,4,22,1,0.19767282908917694,1.125
B4_random,4,22,2,0.39137768398214023,1.6875
B4_random,4,22,3,0.39137768398214023,2.53125
B4_random,4,22,4,0.4333334213057318,3.796875
B4_random,4,23,1,0.1795726876964375,1.125
B4_random,4,23,2,0.3516283045634163,1.6875
B4_random,4,23,3,0.3516283045634163,2.53125
B4_random,4,23,4,0.3516283045634163,3.796875
B4_random,4,24,1,0.18878482700706625,1.125
B4_random,4,24,2,0.36168118836125496,1.6875
B4_random,4,24,3,0.36168118836125496,2.53125
B4_random,4,24,4,0.3668532404456594,3.796875
B5_shuffled,4,1,1,0.23456790123456783,1.125
B5_shuffled,4,1,2,0.41975308641975306,1.6875
B5_shuffled,4,1,3,0.493827160493827,2.53125
B5_shuffled,4,1,4,0.493827160493827,3.796875
B5_shuffled,4,2,1,0.18518518518518523,1.125
B5_shuffled,4,2,2,0.37037037037037046,1.6875
B5_shuffled,4,2,3,0.37037037037037046,2.53125
B5_shuffled,4,2,4,0.37037037037037046,3.796875
B5_shuffled,4,3,1,0.1851851851851852,1.125
B5_shuffled,4,3,2,0.37037037037037035,1.6875
B5_shuffled,4,3,3,0.37037037037037035,2.53125
B5_shuffled,4,3,4,0.37037037037037035,3.796875
B5_shuffled,4,4,1,0.19753086419753085,1.125
B5_shuffled,4,4,2,0.38271604938271614,1.6875
B5_shuffled,4,4,3,0.38271604938271614,2.53125
B5_shuffled,4,4,4,0.4197530864197532,3.796875
B5_shuffled,4,5,1,0.23456790123456794,1.125
B5_shuffled,4,5,2,0.4197530864197532,1.6875
B5_shuffled,4,5,3,0.5061728395061729,2.53125
B5_shuffled,4,5,4,0.5925925925925926,3.796875
B5_shuffled,4,6,1,0.18518518518518523,1.125
B5_shuffled,4,6,2,0.37037037037037046,1.6875
B5_shuffled,4,6,3,0.37037037037037046,2.53125
B5_shuffled,4,6,4,0.37037037037037046,3.796875
B5_shuffled,4,7,1,0.1975308641975309,1.125
B5_shuffled,4,7,2,0.39506172839506165,1.6875
B5_shuffled,4,7,3,0.39506172839506165,2.53125
B5_shuffled,4,7,4,0.6358024691358025,3.796875
B5_shuffled,4,8,1,0.19753086419753085,1.125
B5_shuffled,4,8,2,0.38271604938271603,1.6875
B5_shuffled,4,8,3,0.38271604938271603,2.53125
B5_shuffled,4,8,4,0.419753086419753,3.796875
B5_shuffled,4,9,1,0.2345679012345679,1.125
B5_shuffled,4,9,2,0.419753086419753,1.6875
B5_shuffled,4,9,3,0.5061728395061726,2.53125
B5_shuffled,4,9,4,0.6604938271604937,3.796875
B5_shuffled,4,10,1,0.19753086419753085,1.125
B5_shuffled,4,10,2,0.382716049382716,1.6875
B5_shuffled,4,10,3,0.382716049382716,2.53125
B5_shuffled,4,10,4,0.4135802469135802,3.796875
B5_shuffled,4,11,1,0.18518518518518523,1.125
B5_shuffled,4,11,2,0.37037037037037046,1.6875
