model,rho,depth,is_cantor,attack,delta,eps,pid,safe,eta,fitted_C_rms,C_mean,C_rms,C95,C_max,m_min,m_mean,m_std,m_q05,m_q95
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,4da5a7ea784f8c6d,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,587a815c09452a66,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,727d42f9caba144c,0.008547008547008517,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,73d8c52a89607f1f,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,7ce1504cbdb83e1d,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,7d81fec0c0ad5cfb,1.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,853a8e6b978dc0e5,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,8a4b5dc09550b348,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,8d83ab85999515ac,0.007692307692307665,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
qwen2.5-0.5b-instruct,0.24,2,False,authority_test,0.0,2.0,8da22a2bb27cf9cd,0.0,0.33137999175314303,0.02032216142666892,0.02215602049253084,0.023167974937417957,0.027024858868440183,0.030381921682369268,-8.01217269897461,-0.6991131901741028,1.4775039434432984,-5.265285778045654,0.19135961532592774
