control,n,h0,A,omega,alpha,R_cantor,R_ctrl_mean,R_ctrl_sd,delta,pct_rank
G2_random,8,0.66,0.5,1.0,0.8,1.0,1.0,0.0,0.0,50.0
G2_random,1,0.7,0.5,1.0,0.8,0.8776333333333334,0.7192888888888889,0.17256685290883875,0.1583444444444445,56.666666666666664
G2_random,2,0.7,0.5,1.0,0.8,0.8857666666666667,0.9375933333333334,0.05207698280364399,-0.05182666666666669,6.666666666666667
G2_random,3,0.7,0.5,1.0,0.8,0.8926333333333333,0.9473444444444447,0.0489500216878801,-0.05471111111111138,0.0
G2_random,4,0.7,0.5,1.0,0.8,0.8972333333333334,0.9673022222222223,0.04228766831409797,-0.07006888888888885,6.666666666666667
G2_random,5,0.7,0.5,1.0,0.8,0.9001,0.9643977777777779,0.042544129834763224,-0.0642977777777779,16.666666666666668
G2_random,6,0.7,0.5,1.0,0.8,0.9007000000000001,0.9588688888888889,0.04427312213465916,-0.058168888888888826,3.3333333333333335
G2_random,7,0.7,0.5,1.0,0.8,0.9017000000000001,0.9798666666666666,0.03080145167499993,-0.0781666666666665,0.0
G2_random,8,0.7,0.5,1.0,0.8,0.9027666666666667,0.9920399999999999,0.00017185042056919476,-0.0892733333333332,0.0
G2_random,1,0.74,0.5,1.0,0.8,0.8774333333333334,0.6848388888888889,0.1520775419985872,0.1925944444444445,66.66666666666667
G2_random,2,0.74,0.5,1.0,0.8,0.8857666666666667,0.9228066666666667,0.048062767390105635,-0.03703999999999996,26.666666666666668
G2_random,3,0.74,0.5,1.0,0.8,0.8926333333333333,0.9350844444444444,0.04688210920461899,-0.042451111111111106,30.0
G2_random,4,0.74,0.5,1.0,0.8,0.8931,0.9298888888888891,0.04522590409291683,-0.03678888888888909,31.666666666666668
G2_random,5,0.74,0.5,1.0,0.8,0.8936333333333334,0.9233066666666666,0.040412199326516865,-0.02967333333333322,3.3333333333333335
G2_random,6,0.74,0.5,1.0,0.8,0.8958999999999999,0.9031733333333333,0.021895616874483728,-0.007273333333333354,13.333333333333334
G2_random,7,0.74,0.5,1.0,0.8,0.8964333333333333,0.9013155555555556,0.015551626378422547,-0.004882222222222343,0.0
G2_random,8,0.74,0.5,1.0,0.8,0.8975000000000001,0.8992955555555556,0.0007290225090120594,-0.0017955555555555502,0.0
G2_random,1,0.78,0.5,1.0,0.8,0.8772333333333333,0.7189755555555555,0.1544737721375909,0.15825777777777783,56.666666666666664
G2_random,2,0.78,0.5,1.0,0.8,0.8857666666666667,0.9119311111111111,0.0409108955438742,-0.026164444444444435,23.333333333333332
G2_random,3,0.78,0.5,1.0,0.8,0.8926333333333333,0.9004888888888888,0.03130523603681277,-0.007855555555555505,70.0
