rho,pid,auc
0.44,1717ce53958590ba,0.01046859443591234
0.44,1868815d0a7c6716,0.4531650698317365
0.44,1991ac094bc47b5a,0.0026943942133815296
0.44,1e9be34e7c154aee,0.1
0.44,245b8a2be8abc37e,0.2049764659347038
0.44,2982eb379acc1dcf,0.004048337283631355
0.44,2a7630b9ddded8d5,0.2
0.44,3159f31edc896059,0.00080321285140562
0.44,3605a51c50d5daa0,0.0030288720992984
0.44,38e3fe88a50cb3ef,0.1
0.44,3a831f177b4c7882,0.001136363636363625
0.44,41450c0e975a1c31,0.1032506485084306
0.44,4381c0fb4c396040,0.25
0.44,44e03bc01ee3055a,0.35
0.44,47bf27669a8fa08a,0.010614787616895745
0.44,486ee1ca9e71adc6,0.0
0.44,4910c9193fca9a21,0.0012552301255230151
0.44,4a78cd4f429333ac,0.00621498583332854
0.44,4d3a619d3d16b595,0.45136363636363636
0.44,4e12766ab5ee9a6f,0.2512711864406779
0.44,5406f38bad958fff,0.1
0.44,5b6660299c28d21a,0.1048614728865735
0.44,5d8a6dda9c034943,0.0
0.44,6354b26bfd6b0d3b,0.00360518310068964
0.44,663b72de42e74e86,0.001339285714285695
0.44,66eb648c6256c151,0.0019685039370078506
0.44,67f63c1627c03412,0.3559389704712141
0.44,6d1d8e613ece86e7,0.003938301576791985
0.44,6f3466b968e73ba3,0.2558713620186734
0.44,71fe74132803f26b,0.00087336244541484
0.44,76825b753db42030,0.20132743362831856
0.44,78001bdfb89f1ad1,0.20141509433962262
0.44,7b925779bf22fd74,0.005776606527171151
0.44,7be724e7d2299999,0.0056835621927300295
0.44,82da82d3e55219a5,0.02428650546757163
0.44,8acfa77cf5234bd4,0.00697564670800239
0.44,9332a9cf5d92314a,0.004210243095260505
0.44,9f60113cec74b0ee,0.0012711864406779602
0.44,a2f68f9c135648a0,0.1
0.44,a3ecb75bd15d05d8,0.1
0.44,a4a471e79162ce6a,0.10132158590308368
0.44,aa0070de67183c08,0.001930501930501925
0.44,aa6bc6d9ff6d7768,0.20135746606334842
0.44,acd5a3fd547677f6,0.0035833333333333247
